"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/DESCARGAS/HABITACIONES/habitacion_infancia/buzz-toy/source/Box2SG.Box2SG","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_infancia/toy-castle/source/lambert2.lambert2","0","3","3","1","1.695466","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/marilyn-monroe-hair/HairMatAniso_mesh.HairMatAniso_mesh","0","3","3","1","1.818869","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_infancia/color-pencil-collection/source/Material_002.Material_002","0","3","3","1","1.721763","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_infancia/color-pencil-collection/source/Material_007.Material_007","0","3","3","1","1.772768","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_infancia/toy-castle/source/lambert3.lambert3","0","3","3","1","1.866505","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_infancia/toy-castle/source/lambert4.lambert4","0","3","3","1","1.713585","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_infancia/toy-castle/source/lambert5.lambert5","0","3","3","1","1.729397","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/candles/source/Amber.Amber","0","3","3","1","1.818780","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/candles/source/Fire.Fire","0","3","3","1","1.698864","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/candles/source/pasted__Amber.pasted__Amber","0","3","3","1","1.847912","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/candles/source/pasted__Amber1.pasted__Amber1","0","3","3","1","1.764133","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/candles/source/pasted__Fire.pasted__Fire","0","3","3","1","1.765184","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/candles/source/pasted__Fire1.pasted__Fire1","0","3","3","1","1.745793","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/candles/source/pasted__pasted__Amber.pasted__pasted__Amber","0","3","3","1","1.848705","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/candles/source/pasted__pasted__Fire.pasted__pasted__Fire","0","3","3","1","1.765357","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/candles/source/pasted__pasted__Wax.pasted__pasted__Wax","0","3","3","1","1.760508","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/candles/source/pasted__Wax.pasted__Wax","0","3","3","1","1.856602","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/candles/source/pasted__Wax1.pasted__Wax1","0","3","3","1","1.987380","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/candles/source/Wax.Wax","0","3","3","1","1.816614","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/minibar/source/Metal_Rough_Black_10mm_Circular_Mesh.Metal_Rough_Black_10mm_Circular_Mesh","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/minibar/source/Metal_Rough_Black_10mm_Circular_Mesh_ncl_1.Metal_Rough_Black_10mm_Circular_Mesh_ncl_1","0","3","3","1","1.792485","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/minibar/source/Paint_Matte_Black.Paint_Matte_Black","0","3","3","1","1.736560","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/minibar/source/Paint_Matte_Black_ncl_8.Paint_Matte_Black_ncl_8","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/minibar/source/Paint_Matte_Black_ncl_7.Paint_Matte_Black_ncl_7","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/minibar/source/Paint_Matte_Black_ncl_6.Paint_Matte_Black_ncl_6","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/minibar/source/Paint_Matte_Black_ncl_5.Paint_Matte_Black_ncl_5","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/minibar/source/Paint_Matte_Black_ncl_4.Paint_Matte_Black_ncl_4","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/minibar/source/Paint_Matte_Black_ncl_3.Paint_Matte_Black_ncl_3","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/minibar/source/Paint_Matte_Black_ncl_2.Paint_Matte_Black_ncl_2","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/minibar/source/Paint_Matte_Black_ncl_1.Paint_Matte_Black_ncl_1","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/mesa_de_luz/Vase_Glass.Vase_Glass","0","3","3","1","1.839360","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/old-man-shoes/head.head","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/heart-jewelry/source/Mat_7.Mat_7","0","3","3","1","1.736062","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/heart-jewelry/source/Mat_6.Mat_6","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/heart-jewelry/source/Mat_5.Mat_5","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/heart-jewelry/source/Mat_4.Mat_4","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/heart-jewelry/source/Mat_3.Mat_3","0","3","3","1","0.000000","0","3"
